"","N_Emp","Maior_n_Func","Maior_Fat","KSoc","Comerc","Sudeste","Constr","Transf","Norte","Serv","Nordeste","Sul","Infra","Centro-Oeste","Agr","Extr","Entidade"
"FIEAM1","Até 1 Emp","Até 9 Func","Até 240k Fat",NA,"y","y","n","n","n","n","n","n","n","n","n","n","FIEAM"
"FIEAM2","2 a 5 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","n","n","y","y","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM3","Até 1 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","n","n","n","y","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM4","Até 1 Emp","Até 9 Func","Até 240k Fat","Até 100k KSoc","n","n","n","n","n","y","n","n","n","n","n","n","FIEAM"
"FIEAM5","2 a 5 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","y","n","n","y","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM6","Até 1 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","n","n","n","y","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM7","2 a 5 Emp","100-199 Func","De 5 a 10M Fat","100k a 1M KSoc","y","n","n","y","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM8","5 a 10 Emp","Mais de 200 Func","De 50 a 100M Fat","10M a 100M KSoc","n","n","n","y","y","n","y","n","n","n","n","n","FIEAM"
"FIEAM9","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","y","y","y","y","y","y","n","y","n","n","n","n","FIEAM"
"FIEAM10","Mais de 10 Emp","50-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","n","y","n","y","y","n","n","n","n","n","n","FIEAM"
"FIEAM11","2 a 5 Emp","Até 19 Func","Até 240k Fat","100k a 1M KSoc","n","n","n","y","y","y","n","n","n","n","n","n","FIEAM"
"FIEAM12","2 a 5 Emp","Mais de 200 Func","De 50 a 100M Fat","1M a 10M KSoc","y","y","n","y","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM13","5 a 10 Emp","50-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","y","n","n","y","y","y","n","n","n","n","n","n","FIEAM"
"FIEAM14","Até 1 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","n","n","n","y","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM15","2 a 5 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","n","n","n","y","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM16","Até 1 Emp",NA,NA,NA,"n","n","n","n","n","n","n","n","n","n","n","n","FIEAM"
"FIEAM17","2 a 5 Emp","20-99 Func","Até 2,4M Fat","1M a 10M KSoc","n","n","y","n","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM18","2 a 5 Emp","100-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","n","n","n","y","y","n","n","n","n","n","n","n","FIEAM"
"FIEAM19","2 a 5 Emp","50-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","n","n","n","n","y","y","n","n","y","n","n","n","FIEAM"
"FIEAM20","Mais de 10 Emp","Mais de 200 Func","De 10 a 30M Fat","Mais de 100M KSoc","y","y","n","y","y","y","y","n","n","y","n","n","FIEAM"
"FIEAM21","5 a 10 Emp","Mais de 200 Func","De 10 a 30M Fat","10M a 100M KSoc","y","y","n","y","y","y","y","n","n","n","n","n","FIEAM"
"FIEAM22","5 a 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","n","n","y","y","y","n","n","n","n","n","n","FIEAM"
"FIEAM23","2 a 5 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","n","n","y","y","y","n","n","n","n","n","n","n","FIEAM"
